裘德洛,0.39759036144578314
don't,0.3974358974358974
迷恋,0.3972602739726027
from,0.39655172413793105
温柔,0.3963963963963964
杯具,0.39622641509433965
gt,0.39591836734693875
see,0.3958333333333333
想不起来,0.3953488372093023
---,0.39473684210526316
赞赞,0.39473684210526316
~~~,0.3946629213483146
so,0.3944954128440367
233,0.3939393939393939
浮华,0.3939393939393939
动情,0.3939393939393939
阴森,0.3939393939393939
老爷爷,0.3939393939393939
第一时间,0.3939393939393939
gay,0.39361702127659576
眼泪,0.39335180055401664
,,\,0.39285714285714285
不帅,0.39285714285714285
熟人,0.39285714285714285
kiss,0.39285714285714285
狮子,0.39285714285714285
免疫,0.39285714285714285
病人,0.39285714285714285
friend,0.39285714285714285
强求,0.39285714285714285
舍友,0.391304347826087
抬头,0.391304347826087
萌化,0.391304347826087
爱美丽,0.391304347826087
来电,0.391304347826087
谴责,0.391304347826087
伴侣,0.391304347826087
住着,0.391304347826087
拉尔夫,0.391304347826087
阿婆,0.391304347826087
童年阴影,0.391304347826087
盒子,0.391304347826087
目瞪口呆,0.391304347826087
眼熟,0.390625
服饰,0.3898305084745763
雖然,0.3898305084745763
It,0.3888888888888889
手上,0.3888888888888889
调皮,0.3888888888888889
法国电影,0.3888888888888889
盖茨比,0.3877551020408163
大概,0.38762214983713356
羞涩,0.3870967741935484
lt,0.3868312757201646
半夜,0.38666666666666666
猫咪,0.38636363636363635
this,0.38636363636363635
暗恋,0.38613861386138615
井柏然,0.38596491228070173
每每,0.38596491228070173
开花,0.38461538461538464
Love,0.38461538461538464
托马斯,0.38461538461538464
神神叨叨,0.38461538461538464
汉尼拔,0.38461538461538464
刻薄,0.38461538461538464
长相,0.38461538461538464
cute,0.38461538461538464
多兰,0.38461538461538464
forever,0.38461538461538464
害羞,0.38461538461538464
屋顶,0.38461538461538464
(∩,0.3838383838383838
同事,0.3835616438356164
小事,0.38333333333333336
德普,0.38315217391304346
only,0.3829787234042553
曲子,0.3829787234042553
纯纯,0.3829787234042553
顶着,0.38235294117647056
想见,0.38095238095238093
松子,0.38095238095238093
棒呆,0.38095238095238093
西西里,0.38095238095238093
起來,0.38095238095238093
浣熊,0.38095238095238093
事先,0.38095238095238093
杀猪刀,0.38095238095238093
上身,0.38095238095238093
满面,0.38095238095238093
匠人,0.38095238095238093
点点滴滴,0.38095238095238093
谋杀案,0.38095238095238093
风度,0.38095238095238093
真真,0.38095238095238093
😂,0.38095238095238093
填满,0.38095238095238093
生活态度,0.38095238095238093
米歇尔,0.3793103448275862
撒谎,0.3793103448275862
great,0.3793103448275862
没想,0.3793103448275862
end,0.3793103448275862
sexy,0.3793103448275862
猪八戒,0.3793103448275862
that,0.37857142857142856
an,0.3783783783783784
苍凉,0.3783783783783784
再不,0.3783783783783784
妈妈,0.3781094527363184
林肯,0.37777777777777777
佟大为,0.37777777777777777
∩),0.37755102040816324
伊万,0.3764705882352941
惊恐,0.375
感激,0.375
微不足道,0.375
诚实,0.375
小美女,0.375
活活,0.375
new,0.375
没认,0.375
,,,,,,,0.375
不加,0.375
书店,0.375
选片,0.375
都好,0.375
车里,0.375
玩偶,0.375
狂飙,0.375
畏惧,0.375
发福,0.375
疾病,0.375
大一,0.375
穿过,0.375
默契,0.375
笑死,0.37410071942446044
闺蜜,0.3739130434782609
太帅,0.37349397590361444
好几次,0.37254901960784315
惹人,0.37209302325581395
up,0.3717948717948718
Emma,0.37142857142857144
上学,0.37142857142857144
有一天,0.3708609271523179
无私,0.37037037037037035
Tim,0.37037037037037035
_&amp,0.37037037037037035
不减,0.37037037037037035
逃不过,0.37037037037037035
大发,0.37037037037037035
夏日,0.37037037037037035
很妙,0.37037037037037035
英俊,0.3684210526315789
爱得,0.3684210526315789
室友,0.3684210526315789
女孩子,0.367816091954023
帅哥,0.36779324055666
譬如,0.36666666666666664
喝酒,0.36666666666666664
姜戈,0.36666666666666664
怀孕,0.36666666666666664
郁闷,0.3652173913043478
Happy,0.36363636363636365
拼盘,0.36363636363636365
藤井树,0.36363636363636365
星座,0.36363636363636365
BTW,0.36363636363636365
张艾嘉,0.36363636363636365
语气,0.36363636363636365
归属感,0.36363636363636365
赶脚,0.36363636363636365
亲吻,0.36363636363636365
何其,0.36363636363636365
何苦,0.36363636363636365
现时,0.36363636363636365
单曲,0.36363636363636365
相守,0.36363636363636365
风声,0.36363636363636365
miss,0.36363636363636365
好棒,0.36363636363636365
米娅,0.36363636363636365
心惊肉跳,0.36363636363636365
寝室,0.36363636363636365
人格魅力,0.36363636363636365
麦兜,0.3620689655172414
亲爱的,0.3619047619047619
them,0.3611111111111111
面包,0.3611111111111111
看书,0.36065573770491804
般配,0.36
有点累,0.36
梦见,0.36
钥匙,0.36
半生,0.36
可靠,0.36
无条件,0.36
尼古拉斯凯奇,0.36
黑天鹅,0.36
默默地,0.36
right,0.358974358974359
大眼睛,0.3584905660377358
叔叔,0.3577981651376147
小姐,0.35772357723577236
张柏芝,0.35714285714285715
钟头,0.35714285714285715
一边看,0.35714285714285715
回应,0.35714285714285715
story,0.35714285714285715
地铁,0.35714285714285715
背影,0.35714285714285715
can't,0.35555555555555557
天哪,0.35555555555555557
迷住,0.3548387096774194
不肯,0.3548387096774194
科林费斯,0.3548387096774194
very,0.3541666666666667
    ,0.354014598540146
弱者,0.35294117647058826
凭什么,0.35294117647058826
弱弱,0.35294117647058826
喜歡,0.352112676056338
ing,0.35135135135135137
恨不得,0.35135135135135137
华丽丽,0.3508771929824561
全剧,0.3493975903614458
减肥,0.3488372093023256
guy,0.34782608695652173
